property_id,name,address,postal_code,lat,lon
LAWRESD,Lawrence County,80 SHERMAN STREET DEADWOOD SD 57732,57732,44.375136,-103.729316
LBKHOLD,Lubbock Hold Room,"1205 TEXAS AVE, SUITE 605 LUBBOCK TX 79401",79401,33.58437,-101.845109
LEXINSC,Lexington County Jail,521 GIBSON ROAD LEXINGTON SC 29072,29072,33.978481,-81.25084
LIMESTX,Limestone County Detention Center,910 NORTH TYUS STREET GROESBECK TX 76642,76642,31.528784,-96.512347
LINCONE,Lincoln County Jail,3020 N JEFFERS NORTH PLATTE NE 69101,69101,41.107277,-100.764118
LINNJIA,Linn County Jail,53 3RD AVENUE BRIDGE CEDAR RAPIDS IA 52401,52401,41.975295,-91.670085
LONPDAR,Lonoke Police Department,203 W. FRONT STREET LONOKE AR 72086,72086,34.541613,-91.754807
LOSHOLD,Los Angeles Custody Case,300 N. LOS ANGELES ST. RM B-18 SAN PEDRO CA 90731,90731,34.054044,-118.239721
LOUCOVA,Loudoun County Jail,42035 LOUDOUN CENTER PLACE LEESBURG VA 20175,20175,39.075238,-77.544925
LOUHOLD,Louisville Hold Room,400 S 6TH STREET LOUISVILLE KY 40202,40202,38.253202,-85.761072
LRDHOLD,Laredo Detention Center Hold Room,4702 EAST SAUNDERS STREET LAREDO TX 78041,78041,27.529078,-99.44792
LRDICDF,Laredo Processing Center,4702 EAST SAUNDERS STREET LAREDO TX 78041,78041,27.529476,-99.447773
LSFHOLD,Los Fresnos Hold Room,"213 Orive Blvd, Los Fresnos, TX 78566 LOS FRESNOS TX 78566",78566,26.074567,-97.512181
LSRDCTX,La Salle County Regional Detention Center,832 EAST TEXAS STATE HIGHWAY 44 ENCINAL TX 78019,78019,28.045288,-99.336083
LUBBOTX,Lubbock County Detention Center,811 MAIN STREET LUBBOCK TX 79401,79401,33.585423,-101.843434
LVGHOLD,Las Vegas Hold Room,3373 PEPPER LANE LAS VEGAS NV 89120,89120,36.058347,-115.225127
MADISMS,Madison County,2935 HIGHWAY 51 CANTON MS 39046,39046,32.643411,-90.023566
MADISNY,Madison County Jail,138 NORTH COURT STREET WAMPSVILLE NY 13163,13163,43.080706,-75.707453
MAHONOH,Mahoning County Jail,110 FIFTH AVENUE YOUNGSTOWN OH 44503,44503,41.104242,-80.654914
MANATFL,Manatee County Detention-annex,11490 HARLEE RD. PALMETTO FL 34221,34221,27.641239,-82.535283
MANHOLD,Manchester Holdroom,811 CANAL STREET MANCHESTER NH 03101,03101,42.998519,-71.466598
MARIOIN,Marion County Jail,40 SOUTH ALABAMA STREET INDIANAPOLIS IN 46204,46204,39.765936,-86.153584
MARTIFL,Martin County Jail,800 SOUTHEAST MONTEREY ROAD STUART FL 34994,34994,27.175606,-80.239852
MAVERTX,Maverick County Jail,1051 BALBOA JONES BOULEVARD EAGLE PASS TX 78852,78852,28.719324,-100.459986
MCCLETX,Mcclellan County Jail,501 WASHINGTON AVENUE WACO TX 76701,76701,31.557534,-97.133016
MEDHOLD,Medford Sub-office,310 WEST 6TH STREET MEDFORD OR 97501,97501,42.325404,-122.876967
MEMHOLD,Memphis Hold Room,842 VIRGINIA RUN COVE MEMPHIS TN 38122,38122,35.157511,-89.88253
METROFL,Metro Dade Jail,5680 SOUTHWEST 87TH AVENUE MIAMI FL 33173,33173,25.715322,-80.336037
MIAHOLD,Miami District,15665 BISCAYNE BOULEVARD MIAMI FL 33160,33160,25.919958,-80.154961
MIDLATX,Midland County Detention Center,115 W. INDUSTRIAL ROAD MIDLAND TX 79702,79702,31.993732,-102.076911
MILHOLD,Milwaukee Holdroom,310 E. KNAPP STREET MILWAUKEE WI 53201,53201,43.047503,-87.907819
MILLRAR,Miller County Jail,2300 EAST STREET TEXARKANA AR 71854,71854,33.399801,-94.022708
MINICID,Minicassia Detention Center,1415 ALBION AVENUE BURLEY ID 83318,83318,42.53528,-113.791809
MINNESD,Minnehaha County Jail,500 NORTH MINNESOTA AVENUE SIOUX FALLS SD 57104,57104,43.57846,-96.728557
MLDHOLD,"Midland, Tx Ero Holdroom",400 S. MAIN STREET MIDLAND TX 79701,79701,31.994252,-102.074372
MONROFL,Monroe County Detention Center,5501 COLLEGE ROAD KEY WEST FL 33040,33040,24.572185,-81.74893
MONROMI,Monroe County Detention-dorm,7000 EAST DUNBAR ROAD MONROE MI 48161,48161,41.893515,-83.394064
MONTGNY,Montgomery County Jail,PARK STREET FONDA NY 12068,12068,42.952984,-74.374064
MSF,Miami Staging Facility,"33 NE 4th St, Miami, FL 33132 MIAMI FL 33101",33101,25.778461,-80.193132
MUSCAIA,Muscatine County Jail,400 WALNUT STREET MUSCATINE IA 52761,52761,41.424355,-91.044666
NASSAFL,Nassau County Jail,76001 BOBBY MOORE CIRCLE YULEE FL 32097,32097,30.610685,-81.631404
NASSANY,Nassau County Correctional Center,100 CARMAN AVENUE EAST MEADOW NY 11554,11554,40.727807,-73.556165
NATROWY,Natrona County Jail,1100 BRUCE LANE CASPER WY 82601,82601,42.862257,-106.345052
NEWHOLD,New/ins Os Hold Room,970 BROAD STREET NEWARK NJ 07102,07102,40.730364,-74.174986
NIAGANY,Niagara County Jail,5526 NIAGARA STREET EXTENTION LOCKPORT NY 14094,14094,43.180452,-78.735648
NOLHOLD,New Orleans Dd&p,701 LOYOLA AVENUE ROOM 9001 NEW ORLEANS LA 70113,70113,29.948091,-90.077862
NORHOLD,Norfolk Sub-office Hold,5280 HENNEMAN DRIVE NORFOLK VA 23513,23513,36.876164,-76.22287
NVSDCNV,Nevada Southern Detention Center,2190 EAST MESQUITE AVENUE PAHRUMP NV 89060,89060,36.249027,-115.982775
NWHNVNC,New Hanover County Jail,3950 JUVENILE RD CASTLE HAYNE NC 28429,28429,34.327352,-77.895749
NWREGVA,Northwest Regional Adult Detention Center,141 FORT COLLIER ROAD WINCHESTER VA 22603,22603,39.198506,-78.146302
NYCHOLD,Nyc Field Office,26 FEDERAL PLAZA NEW YORK NY 10278,10278,40.640481,-74.170307
OAK,Oakdale Federal Detention,2105 EAST WHATLEY ROAD OAKDALE LA 71463,71463,30.820701,-92.640691
OAKHOLD,Oakdale Holding Room,1010 E WHATLEY ROAD OAKDALE LA 71463,71463,30.832183,-92.63684
OCIRCCA,Orange County Intake Release Facility,550 NORTH FLOWER STREET SANTA ANA CA 92703,92703,33.74871,-117.87716
OGUHOLD,Ogden Hold Room,"2487 S. 1620 W., UNIT E. OGDEN UT 84401",84401,41.220537,-112.018854
OKCHOLD,Oklahoma City Hold Room,4400 SW 44TH STREET OKLAHOMA CITY OK 73119,73119,35.42402,-97.596734
OKMULOK,Okmulgee County Jail,314 W. 7TH STREET OKMULGEE OK 74447,74447,35.622376,-95.974236
OLDHAKY,Oldham County Jail,100 W MAIN STREET LA GRANGE KY 40031,40031,38.407136,-85.38084
OMAHOLD,Omaha Field Office Hold Room,2323 AVENUE J OMAHA NE 68110,68110,41.281294,-95.898764
ORANGFL,Orange County Jail,3855 SOUTH JOHN YOUNG PARKWAY ORLANDO FL 32839,32839,28.503812,-81.416405
ORANGNY,Orange County Jail,110 WELLS FARM ROAD GOSHEN NY 10924,10924,41.404669,-74.357459
ORLHOLD,Orlando Hold Room,9403 TRADEPORT DRIVE ORLANDO FL 32827,32827,28.427496,-81.333815
OTRPCNM,Otero County Processing Center,26 MCGREGOR RANGE ROAD CHAPARRAL NM 88081,88081,32.08042,-106.28262
PALMBFL,Palm Beach County Jail,3228 GUN CLUB ROAD WEST PALM BEACH FL 33406,33406,26.673062,-80.092245
PCSHOLD,Pecos Hold Room,250 EAST PALMER ROAD PECOS TX 79772,79772,31.398176,-103.521451
PENNISD,Pennington County Jail (south Dakota),307 SAINT JOSEPH STREET RAPID CITY SD 57701,57701,44.078928,-103.221024
PHELPNE,Phelps County Jail,715 5TH AVENUE HOLDREGE NE 68949,68949,40.439047,-99.370401
PHIHOLD,Philadelphia District Office Hold Room,1600 CALLOWHILL ST PHILADELPHIA PA 19130,19130,39.95995,-75.16547
PHOHOLD,Phoenix District Office,2035 NORTH CENTRAL AVENUE PHOENIX AZ 85004,85004,33.470785,-112.07309
PIC,Port Isabel,27991 BUENA VISTA BOULEVARD LOS FRESNOS TX 78566,78566,26.155046,-97.33829
PIKCOPA,Pike County Correctional Facility,175 PIKE COUNTY BOULEVARD LORDS VALLEY PA 18428,18428,41.38881,-75.071465
PINALAZ,Pinal County Jail,971 N. JASON LOPEZ CIRCLE FLORENCE AZ 85132,85132,33.041291,-111.376034
PINELFL,Pinellas County Jail,14400 49TH STREET NORTH CLEARWATER FL 33762,33762,27.901529,-82.706199
PINEPLA,Pine Prairie Correctional Center,1133 HAMPTON DUPRE ROAD PINE PRAIRIE LA 70576,70576,30.788073,-92.413408
